qid,target,subject,component,qlabel,qid_fellow,qid_host,qid_academic
1,Fellow,Contribution,Common,Research/analytic skills and expertise,1,20,40
2,Fellow,Contribution,Common,Capacity-building resource,2,21,41
3,Fellow,Contribution,Common,Knowledge Translation,3,22,42
4,Fellow,Contribution,Common,"Networking, building relationships and collaboration",4,23,43
5,Fellow,Contribution,Common,Leadership,5,24,44
6,Fellow,Contribution,Common,"New perspectives, interventions,
 processes, methods or strategies",6,25,45
7,Fellow,Contribution,Common,Providing mentorship or education,7,26,46
8,Fellow,Contribution,Common,Limited to no contribution,8,27,47
9,Fellow,Contribution,Unique,HSIF Impact Project,9,,
10,Fellow,Contribution,Unique,Grantsmanship: applying for or obtaining funding,10,,
11,Fellow,Criterion,Common,Establishment of networks or collaborative relationships,11,29,51
12,Fellow,Criterion,Common,HSIF impact project completion or advancement,12,30,52
13,Fellow,Criterion,Common,"Development of enriched core competencies
 or other professional skills",13,31,53
14,Fellow,Criterion,Common,Academic or research productivity,14,32,54
15,Fellow,Criterion,Common,"Better knowledge of health systems and
 the role of health policy (in Canada or globally)",15,33,55
16,Fellow,Criterion,Common,Advancing host organizations mandate or priorities,16,34,56
17,Fellow,Criterion,Common,"Post-fellowship employment aligned with
 education and professional experience",17,35,57
18,Fellow,Criterion,Unique,"Better understanding of desired career trajectory and 
preparedness for employment after the fellowship",18,,
19,Fellow,Criterion,Unique,Difficult to define success,19,,
20,Host,Contribution,Common,Research/analytic skills and expertise,1,20,40
21,Host,Contribution,Common,Capacity-building resource,2,21,41
22,Host,Contribution,Common,Knowledge Translation,3,22,42
23,Host,Contribution,Common,"Networking, building relationships and collaboration",4,23,43
24,Host,Contribution,Common,Leadership,5,24,44
25,Host,Contribution,Common,"New perspectives, interventions,
 processes, methods or strategies",6,25,45
26,Host,Contribution,Common,Providing mentorship or education,7,26,46
27,Host,Contribution,Common,Limited to no contribution,8,27,47
28,Host,Contribution,Unique,Strong work ethic,,28,
29,Host,Criterion,Common,Establishment of networks or collaborative relationships,11,29,51
30,Host,Criterion,Common,HSIF impact project completion or advancement,12,30,52
31,Host,Criterion,Common,"Development of enriched core competencies
 or other professional skills",13,31,53
32,Host,Criterion,Common,Academic or research productivity,14,32,54
33,Host,Criterion,Common,"Better knowledge of health systems and
 the role of health policy (in Canada or globally)",15,33,55
34,Host,Criterion,Common,Advancing host organizations mandate or priorities,16,34,56
35,Host,Criterion,Common,"Post-fellowship employment aligned with
 education and professional experience",17,35,57
36,Host,Criterion,Unique,Capacity of adaptation to different working environments,,36,
37,Host,Criterion,Unique,Openness to new learning experiences,,37,
38,Host,Criterion,Unique,Team cohesion and collegial interaction,,38,
39,Host,Criterion,Unique,Positive experience by the Fellow,,39,
40,Academic,Contribution,Common,Research/analytic skills and expertise,1,20,40
41,Academic,Contribution,Common,Capacity-building resource,2,21,41
42,Academic,Contribution,Common,Knowledge Translation,3,22,42
43,Academic,Contribution,Common,"Networking, building relationships and collaboration",4,23,43
44,Academic,Contribution,Common,Leadership,5,24,44
45,Academic,Contribution,Common,"New perspectives, interventions,
 processes, methods or strategies",6,25,45
46,Academic,Contribution,Common,Providing mentorship or education,7,26,46
47,Academic,Contribution,Common,Limited to no contribution,8,27,47
48,Academic,Contribution,Unique,"Revealing the strengths and weaknesses of the current academic training 
environment, and opportunities for curriculum enhancement within HSPR",,,48
49,Academic,Contribution,Unique,Identifying challenges and barriers to learning health systems,,,49
50,Academic,,,,,,
51,Academic,Criterion,Common,Establishment of networks or collaborative relationships,11,29,51
52,Academic,Criterion,Common,HSIF impact project completion or advancement,12,30,52
53,Academic,Criterion,Common,"Development of enriched core competencies
 or other professional skills",13,31,53
54,Academic,Criterion,Common,Academic or research productivity,14,32,54
55,Academic,Criterion,Common,"Better knowledge of health systems and
 the role of health policy (in Canada or globally)",15,33,55
56,Academic,Criterion,Common,Advancing host organizations mandate or priorities,16,34,56
57,Academic,Criterion,Common,"Post-fellowship employment aligned with
 education and professional experience",17,35,57
58,Academic,Criterion,Unique,Measurable impacts within the health system,,,58
59,Academic,Criterion,Unique,Foundation for fellows research success,,,59
